Scenario,Train_Set,Test_Set,Model,Fold,Accuracy,Precision,Recall,F1-Score
S1_Baseline,NETFLOW,NETFLOW,M2_XGBoost,5,0.71814608621142,0.7525333405714493,0.7272182804583229,0.739659270029502
S1_Baseline,NETFLOW,NETFLOW,M3_IsolationForest,5,0.46591907419843215,0.5821625509470151,0.10615221183228632,0.17956274010286294
S1_Baseline,NETFLOW,NETFLOW,M1_LogisticRegression,6,0.5552292836030693,0.5551501860545643,0.9672214280405863,0.705416667995141
S1_Baseline,NETFLOW,NETFLOW,M2_XGBoost,6,0.7176364966736307,0.7508622164591043,0.7290499984699252,0.7397953638579657
S1_Baseline,NETFLOW,NETFLOW,M3_IsolationForest,6,0.47201469186555883,0.6131825197761914,0.11114899867539246,0.18818626924884627
S1_Baseline,NETFLOW,NETFLOW,M1_LogisticRegression,7,0.5554025821483243,0.5552663090274204,0.9669722444447358,0.7054441077977994
S1_Baseline,NETFLOW,NETFLOW,M2_XGBoost,7,0.7191889628082067,0.7528595858733074,0.7294128447586198,0.7409507738082022
S1_Baseline,NETFLOW,NETFLOW,M3_IsolationForest,7,0.4669721855834866,0.5880959860805683,0.10638828050203937,0.18018124740863592
S1_Baseline,NETFLOW,NETFLOW,M1_LogisticRegression,8,0.555036729663897,0.5550443064015976,0.9671516253694021,0.7053126235382634
S1_Baseline,NETFLOW,NETFLOW,M2_XGBoost,8,0.718050487642851,0.752455404604534,0.7271101823841083,0.7395657094072581
S1_Baseline,NETFLOW,NETFLOW,M3_IsolationForest,8,0.4709315759577152,0.6077707835901889,0.11016489761659118,0.18652090403425473
S1_Baseline,NETFLOW,NETFLOW,M1_LogisticRegression,9,0.555404989072564,0.5552161471460852,0.9678029971846749,0.7056245527753031
S1_Baseline,NETFLOW,NETFLOW,M2_XGBoost,9,0.7185150240211039,0.7526645031232768,0.7279670204766817,0.7401097802173382
S1_Baseline,NETFLOW,NETFLOW,M3_IsolationForest,9,0.4683320977788903,0.5949073514845505,0.10765121443684754,0.18231219992522424
S1_Baseline,NETFLOW,NETFLOW,M1_LogisticRegression,10,0.5554689060743693,0.5552673238016151,0.9675711594031834,0.7056042439100592
S1_Baseline,NETFLOW,NETFLOW,M2_XGBoost,10,0.718088319890629,0.7507255231403697,0.7305451000450279,0.7404978453289612
S1_Baseline,NETFLOW,NETFLOW,M3_IsolationForest,10,0.4726512575005957,0.6145845700852468,0.11314683908422843,0.1911097984198479
S2_Transfer,KDD,CORES,M1_LogisticRegression,1,0.5347946166931682,0.5347946166931682,1.0,0.6968940480719484
S2_Transfer,KDD,CORES,M2_XGBoost,1,0.36812563692815253,0.43869083915462237,0.6494486285689923,0.5236592777041257
S2_Transfer,KDD,CORES,M3_IsolationForest,1,0.8825494573471273,0.8261964423245298,0.9882830095296706,0.9000001688074262
S2_Transfer,KDD,CORES,M1_LogisticRegression,2,0.5347946166931682,0.5347946166931682,1.0,0.6968940480719484
S2_Transfer,KDD,CORES,M2_XGBoost,2,0.36812563692815253,0.43869083915462237,0.6494486285689923,0.5236592777041257
S2_Transfer,KDD,CORES,M3_IsolationForest,2,0.9323428646203016,0.8938590537834287,0.9911876961404926,0.9400107410913546
S2_Transfer,KDD,NETFLOW,M1_LogisticRegression,1,0.5084730994796709,0.5614303928432283,0.49010742854345013,0.5233500888815859
S2_Transfer,KDD,NETFLOW,M2_XGBoost,1,0.45437408145709485,0.5177001352416283,0.13153286113853097,0.20976931357402212
S2_Transfer,KDD,NETFLOW,M3_IsolationForest,1,0.5137254920838631,0.5537228771460194,0.6018918684977403,0.5768034691694781
S2_Transfer,KDD,NETFLOW,M1_LogisticRegression,2,0.5084730994796709,0.5614303928432283,0.49010742854345013,0.5233500888815859
S2_Transfer,KDD,NETFLOW,M2_XGBoost,2,0.45437408145709485,0.5177001352416283,0.13153286113853097,0.20976931357402212
S2_Transfer,KDD,NETFLOW,M3_IsolationForest,2,0.5195844298884293,0.5529803659564135,0.6650436245395576,0.6038568529756404
S2_Transfer,CORES,KDD,M1_LogisticRegression,1,0.08450658941770703,0.2703024784756906,0.0806074206583718,0.1241822225092966
S2_Transfer,CORES,KDD,M2_XGBoost,1,0.08388606850165096,0.26823140584694755,0.07972096663418997,0.1229114594235197
S2_Transfer,CORES,KDD,M3_IsolationForest,1,0.8051017750756361,0.8051690819702704,0.9998961810602309,0.8920292320269878
S2_Transfer,CORES,KDD,M1_LogisticRegression,2,0.08450658941770703,0.2703024784756906,0.0806074206583718,0.1241822225092966
S2_Transfer,CORES,KDD,M2_XGBoost,2,0.08388606850165096,0.26823140584694755,0.07972096663418997,0.1229114594235197
S2_Transfer,CORES,KDD,M3_IsolationForest,2,0.8046130746650634,0.8050738134990719,0.9992892395661965,0.8917291866727717
