Scenario,Train_Set,Test_Set,Model,Fold_Info,Accuracy,Precision,Recall,F1-Score
S2_Transfer,KDD,CORES,M2_XGBoost,Rep_2_Fold_3,0.7622409164627836,0.8738005059955988,0.6491779940794071,0.7449245799331466
S2_Transfer,KDD,CORES,M3_IsolationForest,Rep_2_Fold_3,0.8826971651988406,0.832983332806224,0.976438116458099,0.8990240243443504
S2_Transfer,KDD,CORES,M1_LogisticRegression,Rep_2_Fold_4,0.5347946166931682,0.5347946166931682,1.0,0.6968940480719484
S2_Transfer,KDD,CORES,M2_XGBoost,Rep_2_Fold_4,0.36417123007926655,0.4365034863958293,0.6493652138290517,0.5220708170736523
S2_Transfer,KDD,CORES,M3_IsolationForest,Rep_2_Fold_4,0.9306040755471139,0.9009794945029416,0.9776893375572087,0.9377683071126888
S2_Transfer,KDD,CORES,M1_LogisticRegression,Rep_2_Fold_5,0.5347946166931682,0.5347946166931682,1.0,0.6968940480719484
S2_Transfer,KDD,CORES,M2_XGBoost,Rep_2_Fold_5,0.7627772248371248,0.8747999110993465,0.6493577991855014,0.7454059919993191
S2_Transfer,KDD,CORES,M3_IsolationForest,Rep_2_Fold_5,0.8650029541570342,0.8057771597627752,0.9849927614542341,0.8864172446810995
S2_Transfer,KDD,NETFLOW,M1_LogisticRegression,Rep_1_Fold_1,0.5084774319453879,0.5614409920467976,0.49006808383395833,0.5233322611652149
S2_Transfer,KDD,NETFLOW,M2_XGBoost,Rep_1_Fold_1,0.4544612121565137,0.5158585876948995,0.1488585225449557,0.23104549596649157
S2_Transfer,KDD,NETFLOW,M3_IsolationForest,Rep_1_Fold_1,0.5351389445824682,0.5578355336623378,0.7508080966166173,0.6400939500463638
S2_Transfer,KDD,NETFLOW,M1_LogisticRegression,Rep_1_Fold_2,0.5085828552778338,0.5614936978679329,0.4905681988079427,0.5236402019223501
S2_Transfer,KDD,NETFLOW,M2_XGBoost,Rep_1_Fold_2,0.45711412533053103,0.5234623008589677,0.1558505145850838,0.24018940052362722
S2_Transfer,KDD,NETFLOW,M3_IsolationForest,Rep_1_Fold_2,0.5368430477644718,0.5611746689851573,0.7282714470197257,0.6338961871146361
S2_Transfer,KDD,NETFLOW,M1_LogisticRegression,Rep_1_Fold_3,0.508427367897103,0.5614423262006352,0.4896431609714471,0.5230904596421928
S2_Transfer,KDD,NETFLOW,M2_XGBoost,Rep_1_Fold_3,0.4517365726056267,0.5096413761019002,0.1111050879703988,0.18243760763029232
S2_Transfer,KDD,NETFLOW,M3_IsolationForest,Rep_1_Fold_3,0.5379723771613588,0.5589201301983404,0.7628292168566725,0.6451459289987208
S2_Transfer,KDD,NETFLOW,M1_LogisticRegression,Rep_1_Fold_4,0.5089881815149092,0.561769741866885,0.49196362450458453,0.5245544787055924
S2_Transfer,KDD,NETFLOW,M2_XGBoost,Rep_1_Fold_4,0.4550099911473284,0.5199863635424486,0.13202598149749462,0.21058408029927447
S2_Transfer,KDD,NETFLOW,M3_IsolationForest,Rep_1_Fold_4,0.5125807583644268,0.5559007640222713,0.5703793791754573,0.5630470084750846
S2_Transfer,KDD,NETFLOW,M1_LogisticRegression,Rep_1_Fold_5,0.5082377021757162,0.5613679970265302,0.4885957173720882,0.5224599582929562
S2_Transfer,KDD,NETFLOW,M2_XGBoost,Rep_1_Fold_5,0.45037521560034255,0.5032835820895523,0.13267036040628222,0.2099863205827141
S2_Transfer,KDD,NETFLOW,M3_IsolationForest,Rep_1_Fold_5,0.46665710314975073,0.5190535338150599,0.426382988396808,0.46817653366767886
S2_Transfer,KDD,NETFLOW,M1_LogisticRegression,Rep_2_Fold_1,0.5084206285059877,0.5614674758011936,0.48940884136825163,0.5229676267478618
S2_Transfer,KDD,NETFLOW,M2_XGBoost,Rep_2_Fold_1,0.45101497637121335,0.505128372032472,0.14248293095353215,0.2222696565767884
S2_Transfer,KDD,NETFLOW,M3_IsolationForest,Rep_2_Fold_1,0.5401029875239429,0.5587631400152105,0.7830506488816922,0.6521617872473667
S2_Transfer,KDD,NETFLOW,M1_LogisticRegression,Rep_2_Fold_2,0.508494280423176,0.5614375361101293,0.4902324572869462,0.5234244671207953
S2_Transfer,KDD,NETFLOW,M2_XGBoost,Rep_2_Fold_2,0.45959373987587004,0.5330294560847355,0.14907098397621132,0.23298394441662118
