Scenario,Test_Stream,Model,Batch_Idx,F1-Score
S4_Stream,KDD,M2_XGBoost,132,0.6405867970660146
S4_Stream,KDD,M3_IsolationForest,132,0.2622601279317697
S4_Stream,KDD,M1_LogisticRegression,133,0.56
S4_Stream,KDD,M2_XGBoost,133,0.888402625820569
S4_Stream,KDD,M3_IsolationForest,133,0.5946872322193659
S4_Stream,KDD,M1_LogisticRegression,134,0.6771978021978022
S4_Stream,KDD,M2_XGBoost,134,0.859983429991715
S4_Stream,KDD,M3_IsolationForest,134,0.7767918088737201
S4_Stream,KDD,M1_LogisticRegression,135,0.2793103448275862
S4_Stream,KDD,M2_XGBoost,135,0.6680161943319838
S4_Stream,KDD,M3_IsolationForest,135,0.14425427872860636
S4_Stream,KDD,M1_LogisticRegression,136,0.28030954428202925
S4_Stream,KDD,M2_XGBoost,136,0.7169811320754716
S4_Stream,KDD,M3_IsolationForest,136,0.12298682284040996
S4_Stream,KDD,M1_LogisticRegression,137,0.6440677966101694
S4_Stream,KDD,M2_XGBoost,137,0.9312977099236641
S4_Stream,KDD,M3_IsolationForest,137,0.6822351959966639
S4_Stream,KDD,M1_LogisticRegression,138,0.8088147706968434
S4_Stream,KDD,M2_XGBoost,138,0.9570119802677942
S4_Stream,KDD,M3_IsolationForest,138,0.8448275862068966
S4_Stream,KDD,M1_LogisticRegression,139,0.7714987714987716
S4_Stream,KDD,M2_XGBoost,139,0.963076923076923
S4_Stream,KDD,M3_IsolationForest,139,0.8047255038220987
S4_Stream,KDD,M1_LogisticRegression,140,0.8626780626780627
S4_Stream,KDD,M2_XGBoost,140,0.9321028345418589
S4_Stream,KDD,M3_IsolationForest,140,0.8833124215809285
S4_Stream,KDD,M1_LogisticRegression,141,0.8968560397131826
S4_Stream,KDD,M2_XGBoost,141,0.9547374773687387
S4_Stream,KDD,M3_IsolationForest,141,0.9084380610412927
S4_Stream,KDD,M1_LogisticRegression,142,0.6945169712793734
S4_Stream,KDD,M2_XGBoost,142,0.8367052023121387
S4_Stream,KDD,M3_IsolationForest,142,0.6453433678269049
S4_Stream,KDD,M1_LogisticRegression,143,0.6522911051212938
S4_Stream,KDD,M2_XGBoost,143,0.7611710323574731
S4_Stream,KDD,M3_IsolationForest,143,0.2733612273361227
S4_Stream,KDD,M1_LogisticRegression,144,0.4603541185527329
S4_Stream,KDD,M2_XGBoost,144,0.53184165232358
S4_Stream,KDD,M3_IsolationForest,144,0.2563237774030354
S4_Stream,KDD,M1_LogisticRegression,145,0.003992015968063872
S4_Stream,KDD,M2_XGBoost,145,0.024242424242424242
S4_Stream,KDD,M3_IsolationForest,145,0.005471956224350205
S4_Stream,KDD,M1_LogisticRegression,146,0.017839444995044598
S4_Stream,KDD,M2_XGBoost,146,0.45
S4_Stream,KDD,M3_IsolationForest,146,0.025280898876404494
S4_Stream,KDD,M1_LogisticRegression,147,0.0
S4_Stream,KDD,M2_XGBoost,147,0.0
S4_Stream,KDD,M3_IsolationForest,147,0.0
S4_Stream,KDD,M1_LogisticRegression,148,0.007976071784646061
S4_Stream,KDD,M2_XGBoost,148,0.16216216216216217
S4_Stream,KDD,M3_IsolationForest,148,0.011347517730496455
S4_Stream,KDD,M1_LogisticRegression,149,0.003996003996003996
S4_Stream,KDD,M2_XGBoost,149,0.15384615384615385
S4_Stream,KDD,M3_IsolationForest,149,0.005044136191677175
S4_Stream,KDD,M1_LogisticRegression,150,0.03736479842674533
S4_Stream,KDD,M2_XGBoost,150,0.2389937106918239
S4_Stream,KDD,M3_IsolationForest,150,0.04423748544819558
S4_Stream,KDD,M1_LogisticRegression,151,0.3982832618025751
S4_Stream,KDD,M2_XGBoost,151,0.9004854368932039
S4_Stream,KDD,M3_IsolationForest,151,0.6073469387755102
S4_Stream,KDD,M1_LogisticRegression,152,0.33194328607172646
S4_Stream,KDD,M2_XGBoost,152,0.961352657004831
S4_Stream,KDD,M3_IsolationForest,152,0.3983983983983984
S4_Stream,KDD,M1_LogisticRegression,153,0.0
S4_Stream,KDD,M2_XGBoost,153,0.0
