Scenario,Train_Set,Test_Set,Model,Fold,Accuracy,Precision,Recall,F1-Score,Threshold
S2_Transfer,NETFLOW,CORES,M1_LogisticRegression,1,0.5347946166931682,0.5347946166931682,1.0,0.6968940480719484,0.05
S2_Transfer,NETFLOW,CORES,M2_XGBoost,1,0.5359148171793153,0.5355498848695687,0.9959145314037959,0.696538433365766,0.39999999999999997
S2_Transfer,NETFLOW,CORES,M3_IsolationForest,1,0.5304050169120533,0.532769324285273,0.9910597935392503,0.6929993007142565,
S2_Transfer,NETFLOW,CORES,M1_LogisticRegression,2,0.5347946166931682,0.5347946166931682,1.0,0.6968940480719484,0.05
S2_Transfer,NETFLOW,CORES,M2_XGBoost,2,0.5352585581334486,0.5351748538570587,0.9964928736007177,0.6963624269658264,0.39999999999999997
S2_Transfer,NETFLOW,CORES,M3_IsolationForest,2,0.5343435625151177,0.5345867473094017,0.9991009744695286,0.696499205921538,
S3_Combined,CORES+NETFLOW,KDD,M1_LogisticRegression,1,0.6111198634210958,0.7684553600676721,0.7400014374930122,0.7539600365338416,0.39999999999999997
S3_Combined,CORES+NETFLOW,KDD,M2_XGBoost,1,0.3178771111375467,0.6474490346240966,0.33555479244198116,0.44202193409252294,0.44999999999999996
S3_Combined,CORES+NETFLOW,KDD,M3_IsolationForest,1,0.8292699394590215,0.8442985057960597,0.9661310674184223,0.9011154354667511,
S3_Combined,CORES+NETFLOW,KDD,M1_LogisticRegression,2,0.6111198634210958,0.7684553600676721,0.7400014374930122,0.7539600365338416,0.39999999999999997
S3_Combined,CORES+NETFLOW,KDD,M2_XGBoost,2,0.2889987750338393,0.6049873845977407,0.33702422974332763,0.43289361658477543,0.44999999999999996
S3_Combined,CORES+NETFLOW,KDD,M3_IsolationForest,2,0.8137633468261802,0.8303174641304311,0.9661430465268571,0.8930955505233105,
S3_Combined,KDD+NETFLOW,CORES,M1_LogisticRegression,1,0.5347946166931682,0.5347946166931682,1.0,0.6968940480719484,0.05
S3_Combined,KDD+NETFLOW,CORES,M2_XGBoost,1,0.5345477760550702,0.5347021230362882,0.9989359986505348,0.6965570191595544,0.44999999999999996
S3_Combined,KDD+NETFLOW,CORES,M3_IsolationForest,1,0.5347946166931682,0.5347946166931682,1.0,0.6968940480719484,
S3_Combined,KDD+NETFLOW,CORES,M1_LogisticRegression,2,0.5347946166931682,0.5347946166931682,1.0,0.6968940480719484,0.05
S3_Combined,KDD+NETFLOW,CORES,M2_XGBoost,2,0.5350146914789422,0.5349286843760354,0.9995625360305335,0.6969015726381511,0.44999999999999996
S3_Combined,KDD+NETFLOW,CORES,M3_IsolationForest,2,0.5347946166931682,0.5347946166931682,1.0,0.6968940480719484,
S3_Combined,KDD+CORES,NETFLOW,M1_LogisticRegression,1,0.5449885646974326,0.57997002997003,0.629412181296924,0.603680454780067,0.39999999999999997
S3_Combined,KDD+CORES,NETFLOW,M2_XGBoost,1,0.5011050194503641,0.6139833828422432,0.25282123425228004,0.35816153628918385,0.44999999999999996
S3_Combined,KDD+CORES,NETFLOW,M3_IsolationForest,1,0.5505779268573883,0.5505779268573883,1.0,0.7101583446028594,
S3_Combined,KDD+CORES,NETFLOW,M1_LogisticRegression,2,0.5449885646974326,0.57997002997003,0.629412181296924,0.603680454780067,0.39999999999999997
S3_Combined,KDD+CORES,NETFLOW,M2_XGBoost,2,0.5010501415512827,0.5963982232001452,0.29007105654534215,0.39030763203683727,0.44999999999999996
S3_Combined,KDD+CORES,NETFLOW,M3_IsolationForest,2,0.5505779268573883,0.5505779268573883,1.0,0.7101583446028594,
